,game_id,season,week,gameday,away_team,away_score,home_team,home_score,result,total,spread_line,total_line
6137,2022_01_BUF_LA,2022,1,2022-09-08,BUF,31.0,LA,10.0,-21.0,41.0,-1.0,51.5
6138,2022_01_NO_ATL,2022,1,2022-09-11,NO,27.0,ATL,26.0,-1.0,53.0,-6.0,43.5
6139,2022_01_CLE_CAR,2022,1,2022-09-11,CLE,26.0,CAR,24.0,-2.0,50.0,2.5,42.5
6140,2022_01_SF_CHI,2022,1,2022-09-11,SF,10.0,CHI,19.0,9.0,29.0,-6.5,38.0
6141,2022_01_PIT_CIN,2022,1,2022-09-11,PIT,23.0,CIN,20.0,-3.0,43.0,7.5,44.5
6142,2022_01_PHI_DET,2022,1,2022-09-11,PHI,38.0,DET,35.0,-3.0,73.0,-6.0,49.0
6143,2022_01_IND_HOU,2022,1,2022-09-11,IND,20.0,HOU,20.0,0.0,40.0,-7.0,46.0
6144,2022_01_NE_MIA,2022,1,2022-09-11,NE,7.0,MIA,20.0,13.0,27.0,3.0,47.0
6145,2022_01_BAL_NYJ,2022,1,2022-09-11,BAL,24.0,NYJ,9.0,-15.0,33.0,-6.5,44.0
6146,2022_01_JAX_WAS,2022,1,2022-09-11,JAX,22.0,WAS,28.0,6.0,50.0,3.0,43.5
6147,2022_01_KC_ARI,2022,1,2022-09-11,KC,44.0,ARI,21.0,-23.0,65.0,-6.0,54.0
6148,2022_01_LV_LAC,2022,1,2022-09-11,LV,19.0,LAC,24.0,5.0,43.0,3.5,52.5
6149,2022_01_GB_MIN,2022,1,2022-09-11,GB,7.0,MIN,23.0,16.0,30.0,2.5,47.0
6150,2022_01_NYG_TEN,2022,1,2022-09-11,NYG,21.0,TEN,20.0,-1.0,41.0,5.5,43.5
6151,2022_01_TB_DAL,2022,1,2022-09-11,TB,19.0,DAL,3.0,-16.0,22.0,-2.5,49.5
6152,2022_01_DEN_SEA,2022,1,2022-09-12,DEN,16.0,SEA,17.0,1.0,33.0,-6.0,44.0
6153,2022_02_LAC_KC,2022,2,2022-09-15,LAC,24.0,KC,27.0,3.0,51.0,4.0,52.5
6154,2022_02_MIA_BAL,2022,2,2022-09-18,MIA,42.0,BAL,38.0,-4.0,80.0,3.0,44.0
6155,2022_02_NYJ_CLE,2022,2,2022-09-18,NYJ,31.0,CLE,30.0,-1.0,61.0,6.5,38.5
6156,2022_02_WAS_DET,2022,2,2022-09-18,WAS,27.0,DET,36.0,9.0,63.0,-1.0,48.5
6157,2022_02_IND_JAX,2022,2,2022-09-18,IND,0.0,JAX,24.0,24.0,24.0,-3.0,43.5
6158,2022_02_TB_NO,2022,2,2022-09-18,TB,20.0,NO,10.0,-10.0,30.0,-2.5,44.0
6159,2022_02_CAR_NYG,2022,2,2022-09-18,CAR,16.0,NYG,19.0,3.0,35.0,-1.0,44.0
6160,2022_02_NE_PIT,2022,2,2022-09-18,NE,17.0,PIT,14.0,-3.0,31.0,-3.0,40.0
6161,2022_02_ATL_LA,2022,2,2022-09-18,ATL,27.0,LA,31.0,4.0,58.0,10.5,46.5
6162,2022_02_SEA_SF,2022,2,2022-09-18,SEA,7.0,SF,27.0,20.0,34.0,8.5,40.0
6163,2022_02_CIN_DAL,2022,2,2022-09-18,CIN,17.0,DAL,20.0,3.0,37.0,-7.5,42.0
6164,2022_02_HOU_DEN,2022,2,2022-09-18,HOU,9.0,DEN,16.0,7.0,25.0,10.5,46.0
6165,2022_02_ARI_LV,2022,2,2022-09-18,ARI,29.0,LV,23.0,-6.0,52.0,5.5,51.5
6166,2022_02_CHI_GB,2022,2,2022-09-18,CHI,10.0,GB,27.0,17.0,37.0,10.5,42.0
6167,2022_02_TEN_BUF,2022,2,2022-09-19,TEN,7.0,BUF,41.0,34.0,48.0,10.0,47.5
6168,2022_02_MIN_PHI,2022,2,2022-09-19,MIN,7.0,PHI,24.0,17.0,31.0,2.5,49.5
6169,2022_03_PIT_CLE,2022,3,2022-09-22,PIT,17.0,CLE,29.0,12.0,46.0,4.5,38.0
6170,2022_03_NO_CAR,2022,3,2022-09-25,NO,14.0,CAR,22.0,8.0,36.0,-2.0,41.0
6171,2022_03_HOU_CHI,2022,3,2022-09-25,HOU,20.0,CHI,23.0,3.0,43.0,3.0,40.0
6172,2022_03_KC_IND,2022,3,2022-09-25,KC,17.0,IND,20.0,3.0,37.0,-4.5,51.0
6173,2022_03_BUF_MIA,2022,3,2022-09-25,BUF,19.0,MIA,21.0,2.0,40.0,-4.0,54.0
6174,2022_03_DET_MIN,2022,3,2022-09-25,DET,24.0,MIN,28.0,4.0,52.0,6.5,52.0
6175,2022_03_BAL_NE,2022,3,2022-09-25,BAL,37.0,NE,26.0,-11.0,63.0,-2.5,45.5
6176,2022_03_CIN_NYJ,2022,3,2022-09-25,CIN,27.0,NYJ,12.0,-15.0,39.0,-6.5,46.0
6177,2022_03_LV_TEN,2022,3,2022-09-25,LV,22.0,TEN,24.0,2.0,46.0,-1.5,45.5
6178,2022_03_PHI_WAS,2022,3,2022-09-25,PHI,24.0,WAS,8.0,-16.0,32.0,-6.0,47.0
6179,2022_03_JAX_LAC,2022,3,2022-09-25,JAX,38.0,LAC,10.0,-28.0,48.0,6.5,46.0
6180,2022_03_LA_ARI,2022,3,2022-09-25,LA,20.0,ARI,12.0,-8.0,32.0,-3.5,49.0
6181,2022_03_ATL_SEA,2022,3,2022-09-25,ATL,27.0,SEA,23.0,-4.0,50.0,1.0,43.0
6182,2022_03_GB_TB,2022,3,2022-09-25,GB,14.0,TB,12.0,-2.0,26.0,1.0,41.5
6183,2022_03_SF_DEN,2022,3,2022-09-25,SF,10.0,DEN,11.0,1.0,21.0,-1.0,44.0
6184,2022_03_DAL_NYG,2022,3,2022-09-26,DAL,23.0,NYG,16.0,-7.0,39.0,1.0,38.5
6185,2022_04_MIA_CIN,2022,4,2022-09-29,MIA,15.0,CIN,27.0,12.0,42.0,4.0,48.5
6186,2022_04_MIN_NO,2022,4,2022-10-02,MIN,28.0,NO,25.0,-3.0,53.0,-4.0,42.0
6187,2022_04_CLE_ATL,2022,4,2022-10-02,CLE,20.0,ATL,23.0,3.0,43.0,-1.0,48.0
6188,2022_04_BUF_BAL,2022,4,2022-10-02,BUF,23.0,BAL,20.0,-3.0,43.0,-3.0,50.0
6189,2022_04_WAS_DAL,2022,4,2022-10-02,WAS,10.0,DAL,25.0,15.0,35.0,3.0,40.5
6190,2022_04_SEA_DET,2022,4,2022-10-02,SEA,48.0,DET,45.0,-3.0,93.0,3.0,48.5
6191,2022_04_LAC_HOU,2022,4,2022-10-02,LAC,34.0,HOU,24.0,-10.0,58.0,-5.5,45.0
6192,2022_04_TEN_IND,2022,4,2022-10-02,TEN,24.0,IND,17.0,-7.0,41.0,4.5,43.0
6193,2022_04_CHI_NYG,2022,4,2022-10-02,CHI,12.0,NYG,20.0,8.0,32.0,3.0,39.0
6194,2022_04_JAX_PHI,2022,4,2022-10-02,JAX,21.0,PHI,29.0,8.0,50.0,6.5,44.0
6195,2022_04_NYJ_PIT,2022,4,2022-10-02,NYJ,24.0,PIT,20.0,-4.0,44.0,3.0,41.0
6196,2022_04_ARI_CAR,2022,4,2022-10-02,ARI,26.0,CAR,16.0,-10.0,42.0,1.0,44.0
6197,2022_04_NE_GB,2022,4,2022-10-02,NE,24.0,GB,27.0,3.0,51.0,10.0,40.5
6198,2022_04_DEN_LV,2022,4,2022-10-02,DEN,23.0,LV,32.0,9.0,55.0,2.5,45.5
6199,2022_04_KC_TB,2022,4,2022-10-02,KC,41.0,TB,31.0,-10.0,72.0,1.0,46.5
6200,2022_04_LA_SF,2022,4,2022-10-03,LA,9.0,SF,24.0,15.0,33.0,1.0,42.0
6201,2022_05_IND_DEN,2022,5,2022-10-06,IND,12.0,DEN,9.0,-3.0,21.0,3.5,42.0
6202,2022_05_NYG_GB,2022,5,2022-10-09,NYG,27.0,GB,22.0,-5.0,49.0,8.5,42.0
6203,2022_05_PIT_BUF,2022,5,2022-10-09,PIT,3.0,BUF,38.0,35.0,41.0,14.0,44.0
6204,2022_05_LAC_CLE,2022,5,2022-10-09,LAC,30.0,CLE,28.0,-2.0,58.0,-1.0,47.0
6205,2022_05_HOU_JAX,2022,5,2022-10-09,HOU,13.0,JAX,6.0,-7.0,19.0,7.0,44.0
6206,2022_05_CHI_MIN,2022,5,2022-10-09,CHI,22.0,MIN,29.0,7.0,51.0,10.0,44.0
6207,2022_05_DET_NE,2022,5,2022-10-09,DET,0.0,NE,29.0,29.0,29.0,3.0,46.5
6208,2022_05_SEA_NO,2022,5,2022-10-09,SEA,32.0,NO,39.0,7.0,71.0,5.5,45.5
6209,2022_05_MIA_NYJ,2022,5,2022-10-09,MIA,17.0,NYJ,40.0,23.0,57.0,-3.0,46.0
6210,2022_05_ATL_TB,2022,5,2022-10-09,ATL,15.0,TB,21.0,6.0,36.0,10.5,46.0
6211,2022_05_TEN_WAS,2022,5,2022-10-09,TEN,21.0,WAS,17.0,-4.0,38.0,-1.0,43.0
6212,2022_05_SF_CAR,2022,5,2022-10-09,SF,37.0,CAR,15.0,-22.0,52.0,-6.0,40.0
6213,2022_05_PHI_ARI,2022,5,2022-10-09,PHI,20.0,ARI,17.0,-3.0,37.0,-5.5,48.5
6214,2022_05_DAL_LA,2022,5,2022-10-09,DAL,22.0,LA,10.0,-12.0,32.0,5.5,42.0
6215,2022_05_CIN_BAL,2022,5,2022-10-09,CIN,17.0,BAL,19.0,2.0,36.0,3.0,47.5
6216,2022_05_LV_KC,2022,5,2022-10-10,LV,29.0,KC,30.0,1.0,59.0,7.5,51.5
6217,2022_06_WAS_CHI,2022,6,2022-10-13,WAS,12.0,CHI,7.0,-5.0,19.0,-1.0,38.5
6218,2022_06_SF_ATL,2022,6,2022-10-16,SF,14.0,ATL,28.0,14.0,42.0,-3.5,46.0
6219,2022_06_NE_CLE,2022,6,2022-10-16,NE,38.0,CLE,15.0,-23.0,53.0,2.5,43.0
6220,2022_06_NYJ_GB,2022,6,2022-10-16,NYJ,27.0,GB,10.0,-17.0,37.0,7.5,44.5
6221,2022_06_JAX_IND,2022,6,2022-10-16,JAX,27.0,IND,34.0,7.0,61.0,1.0,41.0
6222,2022_06_MIN_MIA,2022,6,2022-10-16,MIN,24.0,MIA,16.0,-8.0,40.0,-3.0,45.0
6223,2022_06_CIN_NO,2022,6,2022-10-16,CIN,30.0,NO,26.0,-4.0,56.0,-3.0,42.5
6224,2022_06_BAL_NYG,2022,6,2022-10-16,BAL,20.0,NYG,24.0,4.0,44.0,-5.5,46.0
6225,2022_06_TB_PIT,2022,6,2022-10-16,TB,18.0,PIT,20.0,2.0,38.0,-10.0,47.0
6226,2022_06_CAR_LA,2022,6,2022-10-16,CAR,10.0,LA,24.0,14.0,34.0,10.0,41.5
